type,wheel_name,wheel_ref,axle_type,overall_a,overall_b,overall_c,tolerance_a,tolerance_b,tolerance_c,f_shank_min,f_shank_max,h2h_min,h2h_max,b2b_min,b2b_max,chassis_span
mb,,J2379,AX1,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,0.91,0.94,0.516,0.566,0.489
mb,,GMD01,AX1,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,0.91,0.94,0.516,0.566,0.489
mb,,J2375,AX1,12.6,5.2,6.4,0.05,0.05,0.05,0.175,0.185,0.91,0.94,0.516,0.566,0.489
mb,,J6609,AX1,12.6,5.5,6.5,0.05,0.05,0.05,0.175,0.185,0.91,0.94,0.516,0.566,0.489
mb,,M2635 (MW),AX1,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,0.9,0.92,0.506,0.546,0.489
mb,,HKW29,AX1,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,0.9,0.92,0.506,0.546,0.489
mb,,M2635 (LW),AX1,12.6,5.6,6.7,0.05,0.05,0.05,0.16,0.17,-,-,-,-,0.489
mb,,M2633,AX1,11.7,5.4,6.9,0.05,0.05,0.05,0.175,0.185,0.91,0.94,0.516,0.566,0.489
mb,,R0462,AX1,10.8,5.3,6.6,0.05,0.05,0.05,0.165,0.175,0.88,0.91,0.506,0.556,0.489
mb,,R0456,AX1,10.9,5,6.5,0.05,0.05,0.05,0.16,0.17,0.88,0.91,0.516,0.566,0.489
mb,,X4888,AX1,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.13,1.16,0.526,0.586,0.489
mb,,X4889,AX1,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.13,1.16,0.526,0.586,0.489
mb,,J6614,AX1,17,8.9,10,0.05,0.05,0.05,0.28,0.295,1.13,1.16,0.516,0.576,0.489
mb,,M2631,AX1,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,0.9,0.93,0.514,0.564,0.489
mb,,DVK24,AX1,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,0.9,0.93,0.514,0.564,0.489
mb,,J2369,AX1,11.7,5.8,6.8,0.05,0.05,0.05,0.15,0.16,0.88,0.91,0.516,0.566,0.489
mb,,K9482,AX1,12.6,5.8,6.5,0.05,0.05,0.05,0.145,0.16,0.857,0.88,0.513,0.566,0.489
mb,,J6299,AX1,11.3,5.7,6.8,0.05,0.05,0.05,0.147,0.157,0.86,0.89,0.522,0.572,0.489
mb,,J2373,AX1,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,0.94,0.97,0.506,0.556,0.489
mb,,GBK35,AX1,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,0.94,0.97,0.506,0.556,0.489
mb,,GKP16,AX1,11.7,5.4,6.9,0.05,0.05,0.05,0.16,0.17,0.88,0.91,0.516,0.566,0.489
